,name,mean,std,median,min,max
173,Alvin?polis,,,,,
174,Alvinl?ndia,,,,,
175,Alvorada,1.732021450996399,0.0,1.732021450996399,1.732021450996399,1.732021450996399
176,Alvorada D'Oeste,0.18287189304828644,0.43052294850349426,0.27770453691482544,-0.6150640845298767,0.6792036890983582
177,Alvorada de Minas,1.5706791877746582,0.2528868317604065,1.5706791877746582,1.317792296409607,1.82356595993042
178,Alvorada do Gurgu?ia,0.3480779230594635,0.2195143699645996,0.2584659159183502,0.1354793757200241,0.650288462638855
179,Alvorada do Norte,0.1281576305627823,0.042549461126327515,0.1281576305627823,0.08560816943645477,0.1707070916891098
180,Alvorada do Sul,-0.227535679936409,0.0,-0.227535679936409,-0.227535679936409,-0.227535679936409
181,Am?lia Rodrigues,,,,,
182,Am?rica Dourada,1.6633731126785278,0.0,1.6633731126785278,1.6633731126785278,1.6633731126785278
183,Am?rico Brasiliense,,,,,
184,Am?rico de Campos,-1.4463518857955933,0.0,-1.4463518857955933,-1.4463518857955933,-1.4463518857955933
185,Amajari,0.0814957544207573,0.27273130416870117,0.07059177756309509,-0.6430785059928894,0.7634792327880859
186,Amamba?,-0.31053802371025085,0.566737174987793,-0.25442376732826233,-1.5934432744979858,0.3325677514076233
187,Amap?,0.4918464720249176,0.1296771764755249,0.44130104780197144,0.35437917709350586,0.7495483756065369
188,Amap? do Maranh?o,-0.27824801206588745,0.0,-0.27824801206588745,-0.27824801206588745,-0.27824801206588745
189,Amapor?,,,,,
190,Amaraji,,,,,
191,Amaral Ferrador,,,,,
192,Amaralina,0.2855336666107178,0.0,0.2855336666107178,0.2855336666107178,0.2855336666107178
193,Amarante,-1.0609934329986572,0.34243178367614746,-1.0609934329986572,-1.4034252166748047,-0.7185616493225098
194,Amarante do Maranh?o,-1.5609123706817627,0.21013805270195007,-1.5395429134368896,-1.9354809522628784,-1.3155643939971924
195,Amargosa,,,,,
196,Amatur?,1.0828222036361694,0.1156589537858963,1.0878063440322876,0.9214078187942505,1.2725626230239868
197,Americana,-0.5796192288398743,0.0,-0.5796192288398743,-0.5796192288398743,-0.5796192288398743
198,Americano do Brasil,-1.123203158378601,0.0,-1.123203158378601,-1.123203158378601,-1.123203158378601
199,Ametista do Sul,,,,,
200,Amontada,-0.6884262561798096,0.0,-0.6884262561798096,-0.6884262561798096,-0.6884262561798096
201,Amorin?polis,,,,,
202,Amp?re,,,,,
203,Amparo,-0.7355340719223022,0.0,-0.7355340719223022,-0.7355340719223022,-0.7355340719223022
204,Amparo de S?o Francisco,,,,,
205,Amparo do Serra,,,,,
206,An?polis,-2.727443218231201,0.0,-2.727443218231201,-2.727443218231201,-2.727443218231201
207,An?sio de Abreu,0.5360158681869507,0.0,0.5360158681869507,0.5360158681869507,0.5360158681869507
208,Anadia,,,,,
209,Anag?,1.6352096796035767,0.17751894891262054,1.7048615217208862,1.3915035724639893,1.8092639446258545
210,Anahy,,,,,
211,Anaj?s,0.32739707827568054,0.18331676721572876,0.26594775915145874,0.1489201933145523,0.6910737156867981
212,Anajatuba,-1.6984044313430786,0.10176658630371094,-1.6984044313430786,-1.8001710176467896,-1.5966378450393677
213,Anal?ndia,,,,,
214,Anam?,0.5938175320625305,0.2566317915916443,0.5214967727661133,0.32197287678718567,0.9379829168319702
215,Anan?s,-0.06514693051576614,0.1959480345249176,-0.052960824221372604,-0.3109941780567169,0.1685142070055008
216,Ananindeua,,,,,
217,Anapu,0.1132543608546257,0.27153947949409485,0.19462108612060547,-0.5047408938407898,0.46504881978034973
218,Anapurus,-0.49515753984451294,0.1282789707183838,-0.49515753984451294,-0.6234365105628967,-0.36687856912612915
219,Anast?cio,0.38292163610458374,0.3302984833717346,0.4390660226345062,-0.18838997185230255,0.8334049582481384
220,Anauril?ndia,-0.11027038842439651,0.2137266844511032,-0.13276270031929016,-0.3363349139690399,0.16077879071235657
221,Anchieta,0.11829035729169846,0.0,0.11829035729169846,0.11829035729169846,0.11829035729169846
222,Andara?,0.7621276378631592,0.2863336205482483,0.7636759281158447,0.3851338326931,1.136024832725525
223,Andir?,-0.4095477759838104,0.0,-0.4095477759838104,-0.4095477759838104,-0.4095477759838104
224,Andorinha,1.3809571266174316,0.0,1.3809571266174316,1.3809571266174316,1.3809571266174316
225,Andr? da Rocha,,,,,
226,Andradas,,,,,
227,Andradina,-2.4355342388153076,0.0,-2.4355342388153076,-2.4355342388153076,-2.4355342388153076
228,Andrel?ndia,-0.7031458020210266,0.0,-0.7031458020210266,-0.7031458020210266,-0.7031458020210266
229,Ang?lica,-0.6325515508651733,0.16471301019191742,-0.6325515508651733,-0.797264575958252,-0.4678385555744171
230,Angatuba,-0.017832107841968536,0.20539987087249756,-0.017832107841968536,-0.2232319861650467,0.18756777048110962
231,Angel?ndia,2.1226155757904053,0.0,2.1226155757904053,2.1226155757904053,2.1226155757904053
232,Angelim,,,,,
233,Angelina,-0.4986143708229065,0.0,-0.4986143708229065,-0.4986143708229065,-0.4986143708229065
234,Angical,0.8149325251579285,0.0190618634223938,0.8149325251579285,0.7958706617355347,0.8339943885803223
235,Angical do Piau?,,,,,
236,Angico,-0.35578086972236633,0.0,-0.35578086972236633,-0.35578086972236633,-0.35578086972236633
237,Angicos,,,,,
238,Angra dos Reis,-2.4424524307250977,0.0,-2.4424524307250977,-2.4424524307250977,-2.4424524307250977
239,Anguera,,,,,
240,Anhanguera,,,,,
241,Anhembi,-0.43485987186431885,0.0,-0.43485987186431885,-0.43485987186431885,-0.43485987186431885
242,Anhumas,,,,,
243,Anicuns,-0.8841763138771057,0.0,-0.8841763138771057,-0.8841763138771057,-0.8841763138771057
244,Anit?polis,,,,,
245,Anita Garibaldi,0.29346680641174316,0.652978777885437,0.29346680641174316,-0.35951197147369385,0.9464455842971802
246,Anori,0.042040325701236725,0.13886284828186035,0.08030693233013153,-0.21720542013645172,0.20876744389533997
247,Ant?nio Almeida,-0.5822800397872925,0.0,-0.5822800397872925,-0.5822800397872925,-0.5822800397872925
248,Ant?nio Cardoso,,,,,
249,Ant?nio Carlos,,,,,
250,Ant?nio Dias,1.3250973224639893,0.03093510866165161,1.3250973224639893,1.2941622734069824,1.3560324907302856
251,Ant?nio Gon?alves,,,,,
252,Ant?nio Jo?o,-0.36461710929870605,0.12504561245441437,-0.36461710929870605,-0.48966270685195923,-0.2395714819431305
253,Ant?nio Martins,0.39844954013824463,0.0,0.39844954013824463,0.39844954013824463,0.39844954013824463
254,Ant?nio Olinto,2.0191659927368164,0.1095963716506958,2.0191659927368164,1.909569501876831,2.1287622451782227
255,Ant?nio Prado,,,,,
256,Ant?nio Prado de Minas,,,,,
257,Anta Gorda,1.4970530271530151,0.0,1.4970530271530151,1.4970530271530151,1.4970530271530151
258,Antas,,,,,
259,Antonina,-0.6743481755256653,0.0,-0.6743481755256653,-0.6743481755256653,-0.6743481755256653
260,Antonina do Norte,0.5482807755470276,0.0,0.5482807755470276,0.5482807755470276,0.5482807755470276
261,Aparecida,-1.1808750629425049,0.0,-1.1808750629425049,-1.1808750629425049,-1.1808750629425049
262,Aparecida D'Oeste,,,,,
263,Aparecida de Goi?nia,-1.3865128755569458,0.0,-1.3865128755569458,-1.3865128755569458,-1.3865128755569458
264,Aparecida do Rio Doce,-0.3814520835876465,0.0,-0.3814520835876465,-0.3814520835876465,-0.3814520835876465
265,Aparecida do Rio Negro,0.14035066962242126,0.0,0.14035066962242126,0.14035066962242126,0.14035066962242126
266,Aparecida do Taboado,-1.5904664993286133,0.10475216805934906,-1.6073007583618164,-1.7095129489898682,-1.4545856714248657
267,Aperib?,,,,,
268,Api?na,,,,,
269,Apia?,0.09960009902715683,0.0,0.09960009902715683,0.09960009902715683,0.09960009902715683
270,Apiac?,0.5790556073188782,0.0,0.5790556073188782,0.5790556073188782,0.5790556073188782
271,Apiac?s,-0.09540364146232605,0.37996989488601685,0.048247769474983215,-0.8859841227531433,0.3907836675643921
272,Apicum-A?u,-0.712238609790802,0.0,-0.712238609790802,-0.712238609790802,-0.712238609790802
273,Apodi,1.2010056972503662,0.07710200548171997,1.2010056972503662,1.123903751373291,1.278107762336731
274,Apor?,-1.1572498083114624,0.02627500519156456,-1.1691714525222778,-1.1817680597305298,-1.1208100318908691
275,Apu?,-0.09863362461328506,0.6202561259269714,-0.0910630077123642,-1.0220574140548706,1.0647913217544556
276,Apuarema,,,,,
277,Apucarana,-0.556795060634613,0.0,-0.556795060634613,-0.556795060634613,-0.556795060634613
278,Apuiar?s,0.6881440877914429,0.0,0.6881440877914429,0.6881440877914429,0.6881440877914429
279,Aquidab?,-0.7409329414367676,0.0,-0.7409329414367676,-0.7409329414367676,-0.7409329414367676
280,Aquidauana,0.5941659212112427,0.3108908236026764,0.6357505321502686,-0.17922624945640564,0.9889642000198364
281,Aquiraz,0.5536788105964661,0.299771249294281,0.5536788105964661,0.25390753149986267,0.8534500598907471
282,Ar?s,,,,,
283,Ara?a?,0.5260248780250549,0.0,0.5260248780250549,0.5260248780250549,0.5260248780250549
284,Ara?agi,,,,,
285,Ara?ariguama,,,,,
286,Ara?as,1.810651183128357,0.0,1.810651183128357,1.810651183128357,1.810651183128357
