date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2011-09-01T00:00:00,TPCP,GHCND:BR000082400,111,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR000352000,36,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR000956000,869,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR002143012,5,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR00E3-0520,76,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR037041370,20,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR038484280,35,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR038837530,91,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BR038983570,41,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BRM00082193,500,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BRM00082361,170,0,0,Brazil,TPCP
2011-09-01T00:00:00,TPCP,GHCND:BRM00083208,884,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR000082400,15,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR000082861,936,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR000352000,119,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR000956000,2993,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR002143012,1217,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR00E3-0520,1640,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR037041370,1680,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR038484280,80,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR038837530,129,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BR038983570,184,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BRM00082193,1790,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BRM00082361,1061,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BRM00083208,1494,0,0,Brazil,TPCP
2011-10-01T00:00:00,TPCP,GHCND:BRM00083566,1055,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR000082400,5,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR000082861,2187,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR000352000,826,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR000956000,3189,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR002143012,3175,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR00E3-0520,619,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR037041370,1004,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR038484280,20,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR038837530,20,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BR038983570,786,0,0,Brazil,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BRM00082193,1476,0,0,Brazil,TPCP
